2025-09-19 02:55:02.050445 - MPU: x=-2, y=-2, z=-3 - Pulgar=0, Indice=16294, Mayor=5903, Anulaar=16548, Meñique=1293
2025-09-19 02:55:02.153933 - MPU: x=-1, y=0, z=-4 - Pulgar=0, Indice=16336, Mayor=6192, Anulaar=16128, Meñique=1293
2025-09-19 02:55:02.250043 - MPU: x=-1, y=-2, z=-3 - Pulgar=0, Indice=16252, Mayor=6081, Anulaar=15801, Meñique=1293
2025-09-19 02:55:02.349403 - MPU: x=-2, y=1, z=-2 - Pulgar=0, Indice=16232, Mayor=6011, Anulaar=15581, Meñique=1293
2025-09-19 02:55:02.451637 - MPU: x=-2, y=-1, z=-3 - Pulgar=0, Indice=16169, Mayor=5965, Anulaar=15443, Meñique=1293
2025-09-19 02:55:02.549295 - MPU: x=-2, y=1, z=-3 - Pulgar=0, Indice=16148, Mayor=5988, Anulaar=15075, Meñique=1293
2025-09-19 02:55:02.667387 - MPU: x=-2, y=-1, z=-2 - Pulgar=0, Indice=16128, Mayor=5934, Anulaar=14626, Meñique=1293
2025-09-19 02:55:02.750072 - MPU: x=-2, y=2, z=-4 - Pulgar=0, Indice=16025, Mayor=5903, Anulaar=14193, Meñique=1293
2025-09-19 02:55:02.848992 - MPU: x=-1, y=1, z=-5 - Pulgar=0, Indice=16086, Mayor=5857, Anulaar=13947, Meñique=1293
2025-09-19 02:55:02.949236 - MPU: x=-1, y=1, z=-6 - Pulgar=0, Indice=16004, Mayor=9867, Anulaar=13775, Meñique=1293
2025-09-19 02:55:03.054063 - MPU: x=-1, y=-3, z=-1 - Pulgar=0, Indice=15963, Mayor=9879, Anulaar=13504, Meñique=1293
2025-09-19 02:55:03.149348 - MPU: x=-2, y=-1, z=-1 - Pulgar=0, Indice=15984, Mayor=9915, Anulaar=13321, Meñique=1293
2025-09-19 02:55:03.248804 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=15963, Mayor=9186, Anulaar=13190, Meñique=1293
2025-09-19 02:55:03.349038 - MPU: x=0, y=0, z=-2 - Pulgar=0, Indice=15902, Mayor=5781, Anulaar=13190, Meñique=1293
2025-09-19 02:55:03.449661 - MPU: x=-1, y=0, z=-1 - Pulgar=0, Indice=16025, Mayor=9831, Anulaar=13157, Meñique=1293
2025-09-19 02:55:03.548869 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=15801, Mayor=5774, Anulaar=13125, Meñique=1293
2025-09-19 02:55:03.648585 - MPU: x=-2, y=-3, z=1 - Pulgar=0, Indice=15902, Mayor=5706, Anulaar=13060, Meñique=1293
2025-09-19 02:55:03.748926 - MPU: x=-2, y=0, z=2 - Pulgar=0, Indice=16066, Mayor=5676, Anulaar=13028, Meñique=1293
2025-09-19 02:55:03.872472 - MPU: x=-2, y=-1, z=0 - Pulgar=0, Indice=15862, Mayor=5676, Anulaar=13012, Meñique=1293
2025-09-19 02:55:03.995733 - MPU: x=-1, y=0, z=1 - Pulgar=0, Indice=15902, Mayor=5662, Anulaar=13012, Meñique=1293
2025-09-19 02:55:04.048514 - MPU: x=-1, y=1, z=-5 - Pulgar=0, Indice=15902, Mayor=5676, Anulaar=12996, Meñique=1293
2025-09-19 02:55:04.149304 - MPU: x=0, y=-1, z=1 - Pulgar=0, Indice=15862, Mayor=5699, Anulaar=12996, Meñique=1293
2025-09-19 02:55:04.251045 - MPU: x=0, y=0, z=-1 - Pulgar=0, Indice=15882, Mayor=5632, Anulaar=12916, Meñique=1293
2025-09-19 02:55:04.350349 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=15862, Mayor=5595, Anulaar=12869, Meñique=1293
2025-09-19 02:55:04.450659 - MPU: x=-1, y=0, z=-1 - Pulgar=0, Indice=15741, Mayor=5595, Anulaar=12869, Meñique=1293
2025-09-19 02:55:04.549326 - MPU: x=-2, y=-2, z=0 - Pulgar=0, Indice=15821, Mayor=5602, Anulaar=12853, Meñique=1293
2025-09-19 02:55:04.648573 - MPU: x=-1, y=-2, z=0 - Pulgar=0, Indice=15862, Mayor=5595, Anulaar=12869, Meñique=1293
2025-09-19 02:55:04.777677 - MPU: x=-1, y=-2, z=-1 - Pulgar=0, Indice=15841, Mayor=5566, Anulaar=12790, Meñique=1293
2025-09-19 02:55:04.863109 - MPU: x=-1, y=0, z=0 - Pulgar=0, Indice=15882, Mayor=5595, Anulaar=12821, Meñique=1293
2025-09-19 02:55:04.963302 - MPU: x=-1, y=-2, z=-2 - Pulgar=0, Indice=15882, Mayor=5595, Anulaar=12821, Meñique=1293
2025-09-19 02:55:05.384954 - MPU: x=-2, y=1, z=-3 - Pulgar=0, Indice=15841, Mayor=5566, Anulaar=12742, Meñique=1293
2025-09-19 02:55:05.386138 - MPU: x=-2, y=-3, z=-3 - Pulgar=0, Indice=15862, Mayor=5580, Anulaar=12821, Meñique=1293
2025-09-19 02:55:05.387198 - MPU: x=1, y=-3, z=-1 - Pulgar=0, Indice=15781, Mayor=5595, Anulaar=12916, Meñique=1293
2025-09-19 02:55:05.388326 - MPU: x=-3, y=-1, z=-1 - Pulgar=0, Indice=15862, Mayor=5834, Anulaar=13125, Meñique=1293
2025-09-19 02:55:05.451695 - MPU: x=-4, y=-2, z=-3 - Pulgar=0, Indice=15862, Mayor=9891, Anulaar=13554, Meñique=1293
2025-09-19 02:55:05.551147 - MPU: x=-1, y=-8, z=10 - Pulgar=0, Indice=15841, Mayor=9503, Anulaar=14105, Meñique=1293
2025-09-19 02:55:05.648502 - MPU: x=-4, y=2, z=-1 - Pulgar=0, Indice=15902, Mayor=5850, Anulaar=15018, Meñique=1293
2025-09-19 02:55:05.750365 - MPU: x=-1, y=4, z=1 - Pulgar=0, Indice=15862, Mayor=5926, Anulaar=16169, Meñique=1293
2025-09-19 02:55:05.867298 - MPU: x=0, y=11, z=1 - Pulgar=0, Indice=16025, Mayor=6011, Anulaar=18037, Meñique=1293
2025-09-19 02:55:05.948800 - MPU: x=6, y=12, z=-4 - Pulgar=0, Indice=16128, Mayor=6050, Anulaar=18846, Meñique=1293
2025-09-19 02:55:06.049563 - MPU: x=9, y=17, z=-9 - Pulgar=0, Indice=16148, Mayor=6027, Anulaar=18253, Meñique=1293
2025-09-19 02:55:06.148890 - MPU: x=10, y=12, z=-7 - Pulgar=0, Indice=16570, Mayor=6027, Anulaar=18181, Meñique=1293
2025-09-19 02:55:06.251106 - MPU: x=-2, y=0, z=-8 - Pulgar=0, Indice=17071, Mayor=6027, Anulaar=17966, Meñique=1293
2025-09-19 02:55:06.348868 - MPU: x=-5, y=-6, z=-1 - Pulgar=0, Indice=17591, Mayor=6027, Anulaar=18229, Meñique=1293
2025-09-19 02:55:06.449598 - MPU: x=1, y=-6, z=-4 - Pulgar=0, Indice=17408, Mayor=6042, Anulaar=17591, Meñique=1293
2025-09-19 02:55:06.550893 - MPU: x=7, y=-9, z=3 - Pulgar=0, Indice=17340, Mayor=6019, Anulaar=17340, Meñique=1293
2025-09-19 02:55:06.651650 - MPU: x=1, y=-1, z=-1 - Pulgar=0, Indice=17250, Mayor=6027, Anulaar=17385, Meñique=1293
2025-09-19 02:55:06.760277 - MPU: x=6, y=21, z=6 - Pulgar=0, Indice=17115, Mayor=6011, Anulaar=17160, Meñique=1293
2025-09-19 02:55:06.861095 - MPU: x=-5, y=-15, z=-1 - Pulgar=0, Indice=17093, Mayor=6011, Anulaar=16851, Meñique=1293
2025-09-19 02:55:06.964429 - MPU: x=5, y=3, z=-2 - Pulgar=0, Indice=17071, Mayor=6011, Anulaar=15984, Meñique=1293
2025-09-19 02:55:07.433740 - MPU: x=0, y=-1, z=2 - Pulgar=0, Indice=16655, Mayor=5934, Anulaar=14962, Meñique=1293
2025-09-19 02:55:07.435013 - MPU: x=-4, y=-2, z=-5 - Pulgar=0, Indice=16148, Mayor=5834, Anulaar=14087, Meñique=1293
2025-09-19 02:55:07.436239 - MPU: x=-2, y=0, z=-3 - Pulgar=0, Indice=15862, Mayor=5834, Anulaar=13588, Meñique=1293
2025-09-19 02:55:07.437330 - MPU: x=-4, y=-1, z=-4 - Pulgar=0, Indice=15404, Mayor=5721, Anulaar=13174, Meñique=1293
2025-09-19 02:55:07.448636 - MPU: x=-5, y=-2, z=-3 - Pulgar=0, Indice=15056, Mayor=5691, Anulaar=12996, Meñique=1293
2025-09-19 02:55:07.565010 - MPU: x=-4, y=0, z=-1 - Pulgar=0, Indice=14756, Mayor=5639, Anulaar=12821, Meñique=1293
2025-09-19 02:55:07.648410 - MPU: x=-3, y=-2, z=0 - Pulgar=0, Indice=14300, Mayor=5610, Anulaar=12742, Meñique=1293
2025-09-19 02:55:07.749176 - MPU: x=-5, y=1, z=-4 - Pulgar=0, Indice=13895, Mayor=5551, Anulaar=12587, Meñique=1293
2025-09-19 02:55:07.880955 - MPU: x=-2, y=3, z=-2 - Pulgar=0, Indice=13638, Mayor=5522, Anulaar=12510, Meñique=1293
2025-09-19 02:55:07.959056 - MPU: x=0, y=-2, z=4 - Pulgar=0, Indice=13487, Mayor=5514, Anulaar=12464, Meñique=1293
2025-09-19 02:55:08.048827 - MPU: x=-1, y=-2, z=3 - Pulgar=0, Indice=13255, Mayor=5485, Anulaar=12403, Meñique=1293
2025-09-19 02:55:08.148547 - MPU: x=-3, y=2, z=1 - Pulgar=0, Indice=13125, Mayor=5485, Anulaar=12403, Meñique=1293
2025-09-19 02:55:08.249006 - MPU: x=-4, y=-4, z=-1 - Pulgar=0, Indice=13012, Mayor=5485, Anulaar=12372, Meñique=1293
2025-09-19 02:55:08.348806 - MPU: x=-3, y=-8, z=2 - Pulgar=0, Indice=12869, Mayor=5434, Anulaar=12267, Meñique=1293
